age,name,sex,q1,q2,q3,q4,q5,q6,q7,q8
23,jo6421,M,3,3,3,3,3,3,4,3
23,doily0313,F,3,3,3,3,4,4,4,4
25,applepike,F,2,2,2,3,5,5,4,5
28,masatoshi 2587,M,4,2,3,3,5,5,5,5
23,rurusieru,M,3,3,2,3,5,5,5,4
31,2♂mama,F,3,2,4,3,5,4,5,4
29,P.tan,M,3,3,4,4,5,1,4,1
25,j999,M,3,2,3,4,4,3,4,5
25,yuito0718,F,3,3,3,3,5,4,5,4
28,wk416,F,3,3,3,3,5,5,5,5
28,鈴木志保,F,2,3,3,1,3,3,3,5
27,blackk,M,3,2,3,4,5,3,5,5
28,lantac8,M,3,3,3,3,4,5,4,5
29,masa2357642,M,2,2,2,2,3,4,3,4
28,hiro_123,M,2,2,2,2,5,5,5,5
29,Miya.miya,F,2,2,3,3,4,4,3,4
20,クラール,M,3,2,2,2,4,3,5,5
26,yamabu0327,M,3,3,4,4,4,4,4,4
29,popo02,F,3,3,3,2,4,4,4,4
21,フェンサー,M,2,2,3,2,4,4,2,4
27,companion753,M,2,2,2,2,4,3,3,4
28,kitakenji,M,4,1,3,4,5,4,5,5
28,Tokmei1,M,1,2,2,2,5,5,5,4
26,mimi.othersoo,M,3,2,3,2,4,4,3,5
